,genre_list
942,northern_soul
943,straight_edge
944,bubblegum_rock
945,heavy_metal
946,hop
947,chillout
948,southern_gothic
949,geek_rock
950,folk_rock
951,professional_wrestling_theme
952,now_wave
953,future_pop
954,folk_jazz
955,martial_industrial
956,improvisation
957,trance
958,surf_rock
959,boogie_rock
960,pop_hip_hop
961,latino_siberian
962,hamd
963,avant_garde_prog
964,drone_doom
965,surf
966,scrumpy_and_western
967,video
968,traditional_black_gospel
969,philly_soul
970,afro_cuban_jazz
971,pop_soul
972,post_industrial
973,beat
974,euro_disco
975,korean_hip_hop
976,avant_garde
977,oom_pah
978,french_house
979,social_change
980,rock_opera
981,show_tuness_jazz
982,improvised
983,latin_jazz_pop
984,reggae_rock
985,english_folk
986,ballads
987,ethnic_fusion
988,drum_&_bass
989,guajira
990,breakbeat
991,aguinaldo
992,swedish_folk
993,acoustic_folk
994,american_folk
995,spanish
996,ethno_rock
997,vallenato
998,impressions
999,popular
1000,neo_soul
1001,christian_rock
1002,punjabi
1003,technical_death_metal
1004,contemporary_jazz
1005,pop_blues
1006,dance_rock
1007,vietnamese_pop
1008,theater
1009,latin_ballads
1010,religious
1011,conjunto
1012,texas_country
1013,incidental
1014,mantra
1015,brazilian_pop
1016,indie_punk
1017,era
1018,playback_singing
1019,african
1020,narrative_nonfiction
1021,tyler_cassidy
1022,latin_soul
1023,middle_of_the_road
1024,broadway
1025,casiocore
1026,pop_classical
1027,palingsound
1028,crunkcore
1029,female_vocalists
1030,neue_deutsche_härte
1031,black_rock
1032,rap
1033,progressive_alterenative
1034,american_sign_language
1035,indie_rock
1036,character_comedy
1037,ccm
1038,traditional_blues
1039,classical_hindi
1040,jug_band
1041,jewish_punk
1042,country_folk_rock
1043,industrial
1044,funk_metal
1045,illbient
1046,pop_opera
1047,post_dubstep
1048,spanish_rock
1049,musica_popular_brasileira
1050,chamamé
1051,wagnerian_rock
1052,canadiana
1053,afro_celtic
1054,comedy_acting
1055,d_beat
1056,mardi_gras_indian
1057,ragga
1058,christian_ska
1059,vocal_group
1060,instrumental
1061,canzone_napoletana
1062,performance_poetry
1063,symphonic_black_metal
1064,yé_yé
1065,hard_rock
1066,ethnic
1067,urban_contemporary
1068,african_american
1069,soul
1070,red_dirt
1071,hip_hop_soul
1072,corrido
1073,nazrul_geeti
1074,post_britpop
1075,regional_mexican
1076,acoustic_guitar
1077,dialectician
1078,vocal_quartet
1079,metalcore
1080,op
1081,death_rap
1082,christian
1083,jam_band
1084,solo_acoustic
1085,santería
1086,venezuelan_folk
1087,reggae
1088,glam_metal
1089,nueva_canción
1090,industrial_country
1091,pop_culture
1092,garage_rock
1093,neo_progressive_rock
1094,noisecore
1095,baroque_pop
1096,rebetiko
1097,new_orleans
1098,sleaze_rock
1099,new_york_hip_hop
1100,third_stream
1101,kawaii_metal
1102,country&western
1103,rhythm_&_grime
1104,klezmer
1105,nyhc
1106,electronicore
1107,popera
1108,soulful_house
1109,avant_garde_jazz
1110,indie_alternative_rock
1111,schlager
1112,underground_hip_hop
1113,alternative_country
1114,balkan
1115,new_jack_swing
1116,deep_funk
1117,skate_punk
1118,gothic
1119,toy_folk
1120,new_weird_america
1121,hip
