,genre_list
837,Disco_music
838,Country_(music)
839,Elektro
840,Funky_house
841,Orchestra
842,Dark_pop
843,Electronic_music
844,Instrumental
845,Southern_Gospel
846,Theme_song
847,Medieval_folk_rock
848,Gothic_metal
849,Drum_and_bass
850,Drone_rock
851,Indie-rock
852,World_Music
853,Bhajan
854,Industrial_rock
855,Yoiking
856,Juke_joint_blues
857,Cpop
858,Jewish_hip_hop
859,Synthwave_(2000s_genre)
860,Norteño_music
861,Lo-fi_rap
862,Indie_rock
863,Post-progressive
864,Novelty_Song
865,New_Age
866,Adult_album_alternative
867,Rock_&amp;_roll
868,Street_punk
869,Drill_(music_genre)
870,Old_time_music
871,Australian_country_music
872,Palingsound
873,Corrido
874,Jazz_Fusion
875,Pop_jazz
876,Choro
877,Ska_jazz
878,Folk_Rock
879,Rap
880,Traditional_pop
881,Progressive_death_metal
882,Fusion_(music)
883,Noise_music
884,Tribute_act
885,Rock_(music)
886,Musique_Concréte_(page_does_not_exist)
887,Vispop
888,Vocal_jazz
889,Blues-rock
890,Avant_garde
891,Talking_blues
892,Alternative_music
893,New_Orleans
894,Improvisation
895,Kawaii_metal
896,Crunk
897,Boogie_woogie
898,New_jack_swing
899,Classic_female_blues
900,Neo-classical_metal
901,Latin_rock
902,Maracatu
903,Jangle_Pop
904,Folk_music
905,Modern_rock
906,Rap_metal
907,Punk_blues
908,Political_satire
909,Film_score
910,Australian_rock
911,Alternative_Pop
912,Chicano_rock
913,Traditional_Pop
914,Soul_blues
915,Third-wave_ska
916,Bubblegum_Pop
917,Sunshine_pop
918,Rock_n_Roll
919,Música_popular_brasileira
920,Countrypolitan
921,Christian_electronic_dance_music
922,Hip-hop
923,Spoken_word
924,Irish_folk_music
925,Industrial_music
926,Indie_rock_music
927,Latin_trap
928,Salsa_romántica
929,Insult_comedy
930,Indo_jazz
931,Nashville_sound
932,Opera
933,Grebo_(music)
934,Experimental_Acoustic_(page_does_not_exist)
935,Hill_country_blues
936,Pornogrind
937,Vocal_trance
938,Mardi_Gras_Indian
939,Southern_Soul
940,Electro-funk
941,Brill_Building
942,Drone_metal
943,Congolese_rumba
944,African_music
945,Crunkcore
946,Twee_Pop
947,Symphonic_rock
948,Theatre_music
949,Salsa_music
950,Rhythm_&amp;_Blues
951,Folk-blues
952,Soundtrack
953,Grime_(music)
954,Berber_music
955,Vaudeville
956,UK_Garage
957,Classical_crossover_(musical_genre)
958,New-age_music
959,World_fusion_music
960,Jazz_rap
961,Big_room_house
962,Christian_hip_hop
963,Avant-funk
964,Eurodisco
965,Death_Metal
966,Filk_music
967,Country_rap
968,"""Childrens_Music"""
969,Torch_singer
970,Sketch_comedy
971,Country_Folk
972,Broadway_musical
973,Nueva_trova
974,Neoclassical_(New_Age)
975,Ambient_pop
976,Chamber_pop
977,House_music
978,Celtic_music
979,Country_and_western_music
980,Cadence-lypso
981,Christian_hip-hop
982,Chicago_Blues
983,Soul_jazz
984,"Experimental_music_(page_does_not_exist)"""
985,Folk_music_of_England
986,Chicago_blues
987,Fusion_music
988,Traditional_black_gospel
989,Comedy_rap
990,Gulf_and_western_(music_genre)
991,Vocal_group
992,Industrial_dance
993,Freak_Folk
994,Avant-garde_metal
995,Acapella
996,Blues_punk
997,Political
998,Yéyé
999,Downtown_music
1000,Hyphy_music
1001,Jazz_mugham
1002,MOR_music_(page_does_not_exist)
1003,Na`at
1004,Symphonic_music
1005,Hymnal
1006,Arena_rock
1007,Marching_band
1008,Glam_rock
1009,Reggae_music
1010,Tropicália
1011,R&amp;B_music
1012,Ritual
1013,Aggressive_Soul_(page_does_not_exist)
1014,European_free_jazz
1015,Aguinaldo
1016,Art_Pop
1017,Nu_metal
1018,Bebop
1019,Cowboy
1020,Jug_band
1021,Deathcore
1022,Electro_house
1023,Nazrul_Geeti
1024,Hauntology_(music)
1025,Songster
1026,Chicago_soul
1027,Instrumental_Synth_Music_(page_does_not_exist)
1028,Post-grunge_music
1029,Stoner_rock
1030,Indie_music
1031,Post-rock
1032,Dark_cabaret
1033,Flamenco
1034,Alternative_folk
1035,Acid_rap
1036,Acoustic_Music
1037,Alternative_R&amp;B
1038,Ethnic_music
1039,Music_of_Bollywood
1040,Azerbaijani_jazz
1041,Hardcore_Hip_Hop
1042,Sadcore
1043,French_rock
1044,Pop_standard
1045,Arabic_music
1046,Social_commentary
