label,frequency,female,male,female%,male%,max_list_length,min_list_length,mean_list_length
drone_metal,3,0.0,3.0,0.0,1.0,15.0,4.0,7.666666666666667
pop_opera,3,2.0,1.0,0.6666666666666666,0.3333333333333333,6.0,2.0,4.666666666666667
progressive_death_metal,3,0.0,3.0,0.0,1.0,7.0,3.0,5.0
medieval,3,2.0,1.0,0.6666666666666666,0.3333333333333333,2.0,1.0,1.3333333333333333
eurodisco,3,3.0,0.0,1.0,0.0,3.0,2.0,2.6666666666666665
latin_freestyle,3,1.0,2.0,0.3333333333333333,0.6666666666666666,5.0,4.0,4.666666666666667
hokum,3,0.0,3.0,0.0,1.0,7.0,2.0,3.6666666666666665
french_rock,3,0.0,3.0,0.0,1.0,6.0,2.0,4.0
canadian_hip_hop,3,1.0,2.0,0.3333333333333333,0.6666666666666666,2.0,1.0,1.6666666666666667
cowboy,3,0.0,3.0,0.0,1.0,4.0,4.0,4.0
light_rock,3,1.0,2.0,0.3333333333333333,0.6666666666666666,6.0,2.0,3.6666666666666665
grebo,3,0.0,3.0,0.0,1.0,4.0,4.0,4.0
technical_metal,3,0.0,3.0,0.0,1.0,5.0,2.0,3.0
political_satire,3,1.0,2.0,0.3333333333333333,0.6666666666666666,6.0,1.0,3.3333333333333335
praise_and_worship,3,1.0,2.0,0.3333333333333333,0.6666666666666666,5.0,3.0,4.0
romantic,3,0.0,3.0,0.0,1.0,6.0,1.0,3.3333333333333335
truck_driving_country,3,0.0,3.0,0.0,1.0,8.0,2.0,4.666666666666667
golden_age_hip_hop,3,0.0,3.0,0.0,1.0,5.0,2.0,3.6666666666666665
industrial_hip_hop,3,0.0,3.0,0.0,1.0,15.0,3.0,7.666666666666667
light_opera,3,2.0,1.0,0.6666666666666666,0.3333333333333333,3.0,2.0,2.6666666666666665
womens,3,3.0,0.0,1.0,0.0,6.0,2.0,3.3333333333333335
middle_of_the_road,3,2.0,1.0,0.6666666666666666,0.3333333333333333,73.0,1.0,25.666666666666668
stride,3,0.0,3.0,0.0,1.0,45.0,3.0,17.333333333333332
folk_alternative,2,1.0,1.0,0.5,0.5,3.0,2.0,2.5
dirty_blues,2,2.0,0.0,1.0,0.0,2.0,2.0,2.0
slapstick,2,1.0,1.0,0.5,0.5,12.0,3.0,7.5
jewish_hip_hop,2,0.0,2.0,0.0,1.0,7.0,1.0,4.0
death_n_roll,2,0.0,2.0,0.0,1.0,3.0,2.0,2.5
pop_classical,2,0.0,2.0,0.0,1.0,5.0,2.0,3.5
comedy_pop,2,0.0,2.0,0.0,1.0,6.0,2.0,4.0
new_blues,2,1.0,1.0,0.5,0.5,2.0,2.0,2.0
urban_pop,2,1.0,1.0,0.5,0.5,4.0,3.0,3.5
rock_jazz,2,0.0,2.0,0.0,1.0,4.0,4.0,4.0
laïko,2,2.0,0.0,1.0,0.0,5.0,3.0,4.0
album_alternative,2,1.0,1.0,0.5,0.5,5.0,4.0,4.5
electro_hop,2,1.0,1.0,0.5,0.5,6.0,5.0,5.5
electronic_dance,2,1.0,1.0,0.5,0.5,5.0,5.0,5.0
mambo,2,1.0,1.0,0.5,0.5,5.0,4.0,4.5
chamber_jazz,2,0.0,2.0,0.0,1.0,45.0,3.0,24.0
punk_jazz,2,0.0,2.0,0.0,1.0,45.0,5.0,25.0
sephardic,2,2.0,0.0,1.0,0.0,3.0,2.0,2.5
orchestral_jazz,2,0.0,2.0,0.0,1.0,45.0,3.0,24.0
tropicalismo,2,0.0,2.0,0.0,1.0,5.0,4.0,4.5
new_orleans_r_and_b,2,1.0,1.0,0.5,0.5,7.0,2.0,4.5
contemporary_gospel,2,2.0,0.0,1.0,0.0,5.0,2.0,3.5
neo_swing,2,0.0,2.0,0.0,1.0,45.0,9.0,27.0
performance_art,2,0.0,2.0,0.0,1.0,8.0,5.0,6.5
hymns,2,1.0,1.0,0.5,0.5,5.0,5.0,5.0
fingerstyle_guitar,2,0.0,2.0,0.0,1.0,3.0,1.0,2.0
opm,2,1.0,1.0,0.5,0.5,4.0,4.0,4.0
alternative_music,2,1.0,1.0,0.5,0.5,5.0,4.0,4.5
new_orleans_blues,2,1.0,1.0,0.5,0.5,7.0,2.0,4.5
nueva_canción,2,0.0,2.0,0.0,1.0,4.0,2.0,3.0
conscious_rap,2,0.0,2.0,0.0,1.0,4.0,2.0,3.0
canterbury_sound,2,0.0,2.0,0.0,1.0,5.0,4.0,4.5
bollywood,2,1.0,1.0,0.5,0.5,6.0,1.0,3.5
conscious_hip_hop,2,0.0,2.0,0.0,1.0,6.0,5.0,5.5
acid_house,2,0.0,2.0,0.0,1.0,6.0,2.0,4.0
chopped_and_screwed,2,0.0,2.0,0.0,1.0,4.0,2.0,3.0
2_step_garage,2,2.0,0.0,1.0,0.0,4.0,4.0,4.0
