artist,gender
Kali_Uchis,female
Philip_Claypool,male
Terri_Clark,female
Brad_Gillis,male
Heinz_Burt,male
Rocco_Prestia,male
Towe_Jaarnek,female
Freddy_Fender,male
Greg_Camp,male
Michael_Sarver,male
Sanna_Nielsen,female
Kari_Berg,female
Kathy_Valentine,female
Amy_Weber,female
Luis_Dubuc,male
Luke_Steele,male
Juan_Habichuela,male
Tim_Bowman,male
Big_Tuck,male
Beau_Burchell,male
Ryan_Ogren,male
Kip_Anderson,male
Lil'_Ed_Williams,male
Mack_Maine,male
Cerrone,male
Bob_&_Gene,male
Big_Smo,male
John_Rich,male
Johnny_Gimble,male
Holly_Ross,female
Lee_Wiley,female
Carly_Binding,female
Douglas_Jimerson,male
Joe_Ely,male
Ron_Anderson,male
U.P._Wilson,male
Vinnie_Mele,male
Josh_Wilson,male
Amanda_Mair,female
Tom_Hill,male
Philip_Selway,male
Eileen_Rodgers,female
Country_Joe_McDonald,male
Mike_Muir,male
Bill_Dickens,male
N'Dea_Davenport,female
Bitty_McLean,male
Chris_Corner,male
Princess_Erika,female
Thelma_Houston,female
Arthur_Maia,male
Capital_Steez,male
Dan_Vickrey,male
Roy_Z,male
Stacey_Earle,female
Syd,female
Julie_Masse,female
Naima_Adedapo,female
Warren_Stacey,male
Napoleon_Murphy_Brock,male
Herb_Ellis,male
Andy_Silvester,male
Barry_Levenson,male
Martin_Svensson,male
Alex_Skolnick,male
Jeremy_Taylor,male
John_Gracie,male
Kim_Richey,female
Eric_Peterson,male
Jimi_Jamison,male
Junior_Barnard,male
Earl_Falconer,male
Sam_Smith,male
Sacario,male
Prince_Paul,male
Marissa_Paternoster,female
Mandy_Rain,female
Christophe_Pratiffi,male
Gene_Simmons,male
Montgomery_Steele,male
Termanology,male
David_Gilmore,male
Peter_Banks,male
Andy_Doonan,male
John_Waller,male
Gladys_Bentley,female
Johnny_Restivo,male
Dave_Davies,male
Jenny_Reynolds,female
Kitty_Wells,female
Safeway_Goya,male
John_Waite,male
Tim_McGraw,male
Matthew_Tuck,male
Jennifer_Kimball,female
Alice_Martineau,female
W._C._Handy,male
Willa_Ford,female
Juelz_Santana,male
Tinsley_Ellis,male
Grafh,male
Kyla_La_Grange,female
Zuzu_Bollin,male
Omillio_Sparks,male
Phildel,female
Mandy_Smith,female
François_Feldman,male
Janne_Schaffer,male
Hodgy,male
Mary_Chapin_Carpenter,female
Sinéad_O'Connor,female
Kevin_Woo,male
Black_Pegasus,male
Prince_Poppycock,male
Lorena_B,female
Frank_Hannon,male
Terri_Allard,female
Bebe_Rexha,female
Jessica_Lynn,female
Elton_Britt,male
Denise_Murray,female
Squire_Parsons,male
Lalah_Hathaway,female
Eliot_Fisk,male
Roy_Orbison,male
Natalie_Walker,female
Marie_Fredriksson,female
Jerry_Harrison,male
Earl_Gaines,male
Ronnie_Dean_Tinsley,male
Charles_Kelley,male
Dante_DeCaro,male
Jorge_González,male
Robin_Black,male
Vanessa_Olivarez,female
Ella_Hooper,female
John_Williamson,male
Al_Jardine,male
Mickey_Newbury,male
Rebecca_Hollweg,female
Stéphane_Neville,male
Jim_Peterik,male
Murray_Cook,male
Lou_Fellingham,female
Vincent_Taylor,male
Simon_Le_Bon,male
Hamilton_Loomis,male
Dannielle_Gaha,female
Dennis_Robbins,male
Rabbit_Brown,male
Barbara_Kooyman,female
Christine_Tobin,female
CeeLo_Green,male
