,artist,gender,category,retrieved,genre
203,Adiam Dymott,female,Swedish_female_singers,ADIAM,[]
204,Adina Howard,female,African-American_female_singers,Adina Howard,"['hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
205,Admiral T,male,French_male_singers,Admiral T,"['french reggae', 'musique guadeloupe', 'rap antillais', 'zouk riddim']"
206,Adolph Hofner,male,American_country_singers,Adolph Hofner,['western swing']
207,Adolph Jacobs,male,American_male_guitarists,Adolph Jacobs,[]
208,Adolphus Alsbrook,male,American_male_guitarists,none,none
209,Adonis Puentes,male,Male_guitarists,Adonis Puentes,['canadian latin']
210,Adrian Baker,male,English_male_singers,Adrian Baker,['library music']
211,Adrian Belew,male,American_male_guitarists,Adrian Belew,"['art rock', 'canterbury scene', 'jazz fusion', 'progressive rock', 'symphonic rock', 'zolo']"
212,Adrian Borland,male,English_male_singers,Adrian Borland,['uk post-punk']
213,Adrian Chirtea,male,American_male_singers,none,none
214,Adrian Gurvitz,male,English_male_singers,Adrian Gurvitz,['yacht rock']
215,Adrian Holovaty,male,American_male_guitarists,none,none
216,Adrian Le Roy,male,Male_guitarists,Adrian Le Roy,['french renaissance']
217,Adrian Lee,male,Male_guitarists,Lee Adrian,[]
218,Adrian Legg,male,Male_guitarists,Adrian Legg,['fingerstyle']
219,Adrian Marcel,male,American_male_singers,Adrian Marcel,"['deep pop r&b', 'trap soul']"
220,Adrian Portas,male,English_male_singers,none,none
221,Adrian Smith,male,English_male_singers,"Adrian ""Agee"" Smith",[]
222,Adrian Snell,male,English_male_singers,Adrian Snell,['christelijk']
223,Adrian Vandenberg,male,Male_guitarists,none,none
224,Adrian Zmed,male,American_male_singers,Adrian Zmed,[]
225,Adriana Caselotti,female,American_female_singers,Adriana Caselotti,['movie tunes']
226,Adriana Evans,female,African-American_female_singer-songwriters,Adriana Evans,"['neo soul', 'smooth soul']"
227,Adrianna Bertola,female,British_female_singers,Adrianna Bertola,[]
228,Adrianna Freeman,female,American_female_country_singers,Adrianna Freeman,[]
229,Adrianne Gonzalez,female,American_female_pop_singers,Adrianne Gonzalez,[]
230,Adrianne León,female,American_female_guitarists,Adrianne Leon,[]
231,Adriano Celentano,male,Male_songwriters,Adriano Celentano,"['classic italian pop', 'italian pop']"
232,Adriano Cintra,male,Male_guitarists,Adriano Cintra,[]
233,Adriel Garcia,male,American_male_guitarists,none,none
234,Adrien Gallo,male,French_male_singers,Adrien Gallo,[]
235,Adrienne Augarde,female,English_female_singers,none,none
236,Adrienne Bailon,female,American_female_pop_singers,Adrienne Bailon,[]
237,Adrienne Barbeau,female,American_female_singers,Adrienne Barbeau,[]
238,Adrienne Lau,female,American_female_singers,none,none
239,Adrienne Pauly,female,French_female_singers,Adrienne Pauly,[]
240,Adrienne Pierce,female,Canadian_female_singers,Adrienne Pierce,['deep acoustic pop']
241,Adrienne Posta,female,English_female_singers,Adrienne Posta,['deep northern soul']
242,Adrienne Young,female,American_female_country_singers,Adrienne Young,[]
243,Adrijana Krasniqi,female,Swedish_female_singers,none,none
244,Adán Sánchez,male,American_male_singers,Adan Chalino Sanchez,"['banda', 'deep regional mexican', 'duranguense', 'grupera', 'norteno', 'regional mexican']"
245,Adèle Anderson,female,English_female_singers,Robyn Adele Anderson,['cabaret']
246,Aebh Kelly,female,Irish_female_singers,none,none
247,Aeone,female,English_female_pop_singers,Aeone,[]
