,artist,gender,retrieved,genre
22935,Sean Kingston,male,https://en.wikipedia.org/wiki/Sean_Kingston,"Reggae fusion, Dancehall, Hip hop, R&amp;B, Dance-pop, Electropop, Doo-wop"
22936,Bill Carson,male,none,none
22937,Greg Lake,male,https://en.wikipedia.org/wiki/Greg_Lake,"Progressive rock, Art rock, Hard rock"
22938,Danny Barnes,male,https://en.wikipedia.org/wiki/Danny_Barnes_(musician),"Country music, Jazz, Punk rock, Rock music, Folk music"
22939,Morgan Nicholls,male,https://en.wikipedia.org/wiki/Morgan_Nicholls,"Alternative rock, Indie rock, Punk rock, Hip hop music"
22940,Lisa Pifer,female,none,none
22941,Jeanie Tracy,female,https://en.wikipedia.org/wiki/Jeanie_Tracy,"House music, Contemporary R&amp;B, Disco, Soul music, Hi-NRG, Gospel music"
22942,Pip,male,https://en.wikipedia.org/wiki/Pip_(musician),"Pop music, Rock music"
22943,Toni Childs,female,https://en.wikipedia.org/wiki/Toni_Childs,"Rock music, Pop music"
22944,Hayley Warner,female,https://en.wikipedia.org/wiki/Hayley_Warner,Singer-songwriter
22945,Jason Anthoney Wright,male,none,none
22946,Alecia Elliott,female,https://en.wikipedia.org/wiki/Alecia_Elliott,Country music
22947,David Wills,male,https://en.wikipedia.org/wiki/David_Wills_(singer),"Country, Christian music"
22948,Myra Molloy,female,https://en.wikipedia.org/wiki/Myra_Molloy,"Pop music, Crossover music"
22949,Eileen Donaghy,female,none,none
22950,Doni Tamblyn,female,none,none
22951,Captain Kirk Douglas,male,https://en.wikipedia.org/wiki/Captain_Kirk_Douglas,"Hip hop music, Neo soul, Soul music, Funk, R&amp;B, Alternative rock"
22952,Sophie Bennett,female,none,none
22953,Dom Kennedy,male,https://en.wikipedia.org/wiki/Dom_Kennedy,Hip Hop music
22954,Melvin LaThomas Brimm,male,none,none
