,artist,retrieved,gender,genre
331,Florence and the Machine,Florence + The Machine,female,"['art pop', 'baroque pop', 'pop', 'uk alternative pop']"
332,The Damned,The Damned,female,"['alternative rock', 'dance rock', 'garage rock', 'gothic rock', 'hardcore punk', 'new wave', 'post-punk', 'pub rock', 'punk']"
333,Sandra Nasic,Sandra Nasic,female,['german alternative rock']
334,AKA Issa,none,none,none
335,Lolita Pop,Lolita Pop,female,"['classic swedish pop', 'swedish post-punk']"
336,Terri Brosius,none,none,none
337,Concrete Blonde,Concrete Blonde,female,['lilith']
338,Bette Bright,Bette Bright,female,['deep new wave']
339,Courtney Barnett,Courtney Barnett,female,"['art pop', 'australian indie', 'chamber pop', 'indie pop', 'indie rock', 'melbourne indie']"
340,Sleater-Kinney,Sleater-Kinney,female,"['alternative pop', 'alternative rock', 'anti-folk', 'art pop', 'indie pop', 'indie punk', 'indie rock', 'lilith', 'noise pop', 'olympia wa indie', 'riot grrrl']"
341,Lzzy Hale,Lzzy Hale,female,[]
342,Tsunami Bomb,Tsunami Bomb,female,"['punk', 'ska punk', 'skate punk']"
