,artist,gender,retrieved,genre
11292,Laurie Johnson,male,https://en.wikipedia.org/wiki/Laurie_Johnson,"['pop', 'swing', ' soundtrack']"
11293,Tim Armstrong,male,https://en.wikipedia.org/wiki/Tim_Armstrong,"['punk rock', '2-tone', 'country', 'hardcore punk', 'rapcore', 'reggae', 'ska', 'ska punk', 'street punk']"
11294,Jeanne Douste,female,none,none
11295,Harry Crosby,male,none,none
11296,Stacy Burk,male,https://en.wikipedia.org/wiki/Stacy_Burk,['country']
11297,Tarrant Anderson,male,none,none
11298,Derek St. Holmes,male,none,none
11299,Franzl Lang,male,none,none
11300,Jude,male,https://en.wikipedia.org/wiki/Jude_(singer),"['indie', 'acoustic', 'rock']"
11301,Alex Ligertwood,male,none,none
11302,Johnny Copeland,male,https://en.wikipedia.org/wiki/Johnny_Copeland,"['texas blues', 'electric blues']"
11303,Truly Shattuck,female,none,none
11304,Johnny Bacolas,male,https://en.wikipedia.org/wiki/Johnny_Bacolas,"['hard rock', 'grunge', 'electronica', 'world music']"
11305,Barney Kessel,male,https://en.wikipedia.org/wiki/Barney_Kessel,"['jazz', 'pop', 'r&b', 'rock']"
11306,Anita Carter,female,https://en.wikipedia.org/wiki/Anita_Carter,"['country', 'folk']"
11307,John McMartin,male,none,none
11308,Brendon Small,male,https://en.wikipedia.org/wiki/Brendon_Small,"['comedy', ':', 'improvisational comedy', 'observational comedy', 'character comedy', 'satire', 'slapstick', 'music', ':', 'melodic death metal', 'comedy rock', 'heavy metal', 'hard rock', 'rock']"
11309,Margo Lee,female,none,none
11310,Jamie Mallender,male,https://en.wikipedia.org/wiki/Jamie_Mallender,"['heavy metal', 'hard rock', 'instrumental rock', 'progressive rock', 'blues', 'country', 'glam rock']"
11311,Syesha Mercado,female,https://en.wikipedia.org/wiki/Syesha_Mercado,"['r&b', 'soul', 'pop']"
11312,Jeff Black,male,https://en.wikipedia.org/wiki/Jeff_Black_(singer-songwriter),"['alternative', 'folk', 'singer-songwriter']"
11313,Judy Holliday,female,none,none
11314,Robin McNamara,male,none,none
11315,Jann Browne,female,https://en.wikipedia.org/wiki/Jann_Browne,['country']
11316,Templeton Thompson,female,https://en.wikipedia.org/wiki/Templeton_Thompson,['country']
11317,Doug Bennett,male,https://en.wikipedia.org/wiki/Doug_Bennett_(musician),['rock']
11318,Linda Shear,female,none,none
11319,Cowboy Slim Rinehart,male,none,none
11320,Jennifer Rush,female,https://en.wikipedia.org/wiki/Jennifer_Rush,"['pop', 'dance-rock', 'pop rock', 'adult contemporary']"
