,artist,gender,retrieved,genre
1357,Bonnie Lou,female,https://en.wikipedia.org/wiki/Bonnie_Lou,"['Country music', 'Rock and roll', 'Rockabilly']"
1358,Sarah Johns,female,https://en.wikipedia.org/wiki/Sarah_Johns,['Country music']
1359,Emily West,female,https://en.wikipedia.org/wiki/Emily_West,"['Traditional pop', 'Country music']"
1360,Terri Hollowell,female,https://en.wikipedia.org/wiki/Terri_Hollowell,['Country music']
1361,Amy Macdonald,female,https://en.wikipedia.org/wiki/Amy_Macdonald,"['Folk rock', 'Indie pop', 'Soft rock']"
1362,Siobhan Fahey,female,https://en.wikipedia.org/wiki/Siobhan_Fahey,"['New wave music', 'Electroclash']"
1363,Katrina and the Waves,female,https://en.wikipedia.org/wiki/Katrina_and_the_Waves,"['Rock music', 'New wave music']"
1364,Thalia Zedek,female,https://en.wikipedia.org/wiki/Thalia_Zedek,['Indie rock']
1365,The Nina Hagen Band,female,none,none
1366,Liz Phair,female,https://en.wikipedia.org/wiki/Liz_Phair,"['Indie rock', 'Lo-fi music', 'Alternative rock', 'Pop rock']"
1367,Sandy Posey,female,https://en.wikipedia.org/wiki/Sandy_Posey,"['Pop music', 'Country music', 'Gospel music']"
1368,Lindsey Haun,female,none,none
1369,Ava Barber,female,https://en.wikipedia.org/wiki/Ava_Barber,['Country music']
1370,Rachel Proctor,female,https://en.wikipedia.org/wiki/Rachel_Proctor,['Country music']
1371,Donita Sparks,female,https://en.wikipedia.org/wiki/Donita_Sparks,"['Alternative metal', 'Grunge', 'Alternative rock', 'Punk rock', 'Heavy metal music']"
1372,Grace Potter and the Nocturnals,female,https://en.wikipedia.org/wiki/Grace_Potter_and_the_Nocturnals,"['Roots rock', 'Blues rock', 'Hard rock', 'Folk rock']"
1373,Rachele Lynae,female,https://en.wikipedia.org/wiki/Rachele_Lynae,['Country rock']
1374,Sleeper,female,https://en.wikipedia.org/wiki/Sleeper_(band),"['Indie rock', 'Britpop']"
1375,Skinny Girl Diet,female,https://en.wikipedia.org/wiki/Skinny_Girl_Diet,"['Punk rock', 'Grunge']"
1376,Michelle Malone,female,https://en.wikipedia.org/wiki/Michelle_Malone,"['Rock music', 'Americana (music)', 'Folk rock', 'Blues', 'Alternative country']"
