artist,retrieved,gender,genre
Fanny,Fanny Lu,female,"colombian pop, cumbia, ecuadorian pop, latin, latin pop, latin viral pop, pop reggaeton, tropical"
Jenny Lewis,Jenny Lewis,female,"anti-folk, art pop, chamber pop, indie folk, indie pop, indie rock, new americana"
Beth Orton,Beth Orton,female,"chamber pop, folk, folktronica, lilith, new wave pop, pop rock, singer-songwriter"
Royal Trux,Royal Trux,female,"experimental rock, gbvfi, lo-fi, noise rock, post-punk"
Gloria Jones,Gloria Jones,female,"motown, northern soul"
Antigone Rising,Antigone Rising,female,lilith
Katrina and the Waves,Katrina & The Waves,female,new wave pop
Reverie Sound Revue,Reverie Sound Revue,female,calgary indie
Jefferson Airplane,Jefferson Airplane,female,"acid rock, album rock, art rock, blues rock, classic rock, folk rock, psychedelic rock, rock, roots rock"
Pat Benatar,Pat Benatar,female,"album rock, classic rock, dance rock, hard rock, heartland rock, mellow gold, new wave pop, rock, soft rock"
Pauline Black,Pauline Black,female,"ska, ska revival"
Sunflower Bean,Sunflower Bean,female,modern power pop
The Vincent Black Shadow,The Vincent Black Shadow,female,pixie
Morningwood,Morningwood,female,candy pop
Transvision Vamp,Transvision Vamp,female,"candy pop, new wave pop"
Dressy Bessy,Dressy Bessy,female,"e6fi, twee pop"
Linda Ronstadt,Linda Ronstadt,female,"adult standards, country rock, folk, folk rock, heartland rock, lilith, mellow gold, singer-songwriter, soft rock"
Automatic Loveletter,Automatic Loveletter,female,"candy pop, neon pop punk, pixie, pop emo"
Vanessa Paradis,Vanessa Paradis,female,"chanson, french indie pop, french pop, french rock, nouvelle chanson francaise"
Brett Anderson,Brett Anderson,female,britpop
Danielle Dax,Danielle Dax,female,"british experimental, gothic rock"
Silbermond,Silbermond,female,"german pop, german pop rock, german rock"
Susan Tedeschi,Susan Tedeschi,female,"blues rock, country rock, electric blues, modern blues"
Marion Raven,Marion Ravn,female,"candy pop, norwegian pop"
Discount,Discount,female,orgcore
Hey,Hey Violet,female,"dance pop, electropop, indie poptimism, modern rock, pixie, pop, post-teen pop, social media pop"
Martina Topley-Bird,Martina Topley-Bird,female,"electronica, trip hop"
Sheena Easton,Sheena Easton,female,"adult standards, mellow gold, minneapolis sound, new romantic, new wave pop, soft rock"
Bonnie Lou,Bonnie Lou,female,rockabilly
