Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
Amanda_Jenssen,Amanda_Jenssen,,4,Source,10,0.000047,0.010557
Kesang_Marstrand,Kesang_Marstrand,,1,Source,10,0.00002,0.004547
TaRanda_Greene,TaRanda_Greene,,3,Source,45,0.000044,0.000639
Logan_Mize,Logan_Mize,,1,Source,143,0.000023,0.006931
Mikel_Erentxun,Mikel_Erentxun,,1,Source,50,0.000021,0.000144
Joey_Feek,Joey_Feek,,2,Source,143,0.000034,0.00708
Charlie_Ryan,Charlie_Ryan,,1,Source,143,0.000019,0.000675
Lisa_Moscatiello,Lisa_Moscatiello,,1,Source,10,0.00002,0.004547
Andy_McKee,Andy_McKee,,3,Source,10,0.000031,0.004695
Alan_Gill,Alan_Gill,,5,Source,149,0.000051,0.004773
David_M._Bailey,David_M._Bailey,,4,Source,45,0.00005,0.014029
Jeff_Pehrson,Jeff_Pehrson,,5,Source,31,0.000055,0.019963
Andrea_Bocelli,Andrea_Bocelli,,6,Source,50,0.000072,0.001896
Martha_Wainwright,Martha_Wainwright,,2,Source,10,0.00003,0.01714
Liam_Burrows,Liam_Burrows,,6,Source,50,0.000069,0.005979
Killer_Mike,Killer_Mike,,1,Source,90,0.000022,0.004706
Coco_Love_Alcorn,Coco_Love_Alcorn,,2,Source,47,0.00003,0.01679
Jinx_Titanic,Jinx_Titanic,,6,Source,50,0.000056,0.00914
Wilbert_Harrison,Wilbert_Harrison,,1,Source,62,0.000019,0.007889
Phil_Driscoll,Phil_Driscoll,,10,Source,143,0.000106,0.034924
St̩phan_Fort̩,St̩phan_Fort̩,,3,Source,31,0.000034,0.000922
Abu_Talib,Abu_Talib,,1,Source,62,0.000019,0.007889
Daddy-O,Daddy-O,,1,Source,90,0.000022,0.004706
Scott_Page,Scott_Page,,4,Source,62,0.000047,0.021583
John_Legend,John_Legend,,3,Source,62,0.000038,0.025558
Jimmy_Napes,Jimmy_Napes,,3,Source,62,0.000038,0.021203
Gilli_Moon,Gilli_Moon,,1,Source,62,0.00002,0.000347
Amy_Grant,Amy_Grant,,3,Source,45,0.000039,0.004203
M̩lissa_Laveaux,M̩lissa_Laveaux,,3,Source,149,0.000037,0.006648
J.D._Malone,J.D._Malone,,1,Source,10,0.00002,0.004547
Sandy_B,Sandy_B,,2,Source,62,0.000027,0.00227
Mel_Street,Mel_Street,,1,Source,143,0.000023,0.006931
Kuk_Harrell,Kuk_Harrell,,4,Source,62,0.000051,0.026095
Richie_Rich,Richie_Rich,,2,Source,90,0.000034,0.004997
James_House,James_House,,1,Source,143,0.000023,0.006931
Top_Quality,Top_Quality,,1,Source,90,0.000022,0.004706
Rockie_Lynne,Rockie_Lynne,,1,Source,143,0.000023,0.006931
Ricardo_Mollo,Ricardo_Mollo,,3,Source,62,0.000028,0.00986
Terry_Carisse,Terry_Carisse,,1,Source,143,0.000023,0.006931
Ola_Svensson,Ola_Svensson,,1,Source,62,0.00002,0.012594
Antje_Duvekot,Antje_Duvekot,,2,Source,10,0.00003,0.01714
Derf_Scratch,Derf_Scratch,,1,Source,149,0.000018,0.001588
Andr̩_3000,Andr̩_3000,,4,Source,62,0.00005,0.018391
Penny_Ford,Penny_Ford,,5,Source,62,0.000047,0.010387
Majesty_Rose,Majesty_Rose,,1,Source,62,0.00002,0.012594
Joe_Principe,Joe_Principe,,3,Source,149,0.000034,0.002437
Yulia,Yulia,,1,Source,50,0.00002,0.000212
Chris_Martin,Chris_Martin,,5,Source,149,0.000056,0.021514
Courtney_Pollock,Courtney_Pollock,,3,Source,84,0.000036,0.009157
Bosson,Bosson,,2,Source,62,0.000029,0.013501
Margaret_Becker,Margaret_Becker,,2,Source,31,0.000029,0.000578
Jeff_Keith,Jeff_Keith,,3,Source,31,0.000034,0.006121
Vic_Johnson,Vic_Johnson,,3,Source,31,0.000036,0.012904
Christophe_Dumaux,Christophe_Dumaux,,1,Source,50,0.000021,0.00028
Laura_Nyro,Laura_Nyro,,5,Source,62,0.000058,0.026294
Pierre_Bouvier,Pierre_Bouvier,,6,Source,149,0.00006,0.009849
Lori_Lewis,Lori_Lewis,,4,Source,31,0.000048,0.001527
El-P,El-P,,2,Source,90,0.000033,0.005125
Chlo̩_Sainte-Marie,Chlo̩_Sainte-Marie,,3,Source,10,0.00003,0.01714
Gerard_McMahon,Gerard_McMahon,,2,Source,10,0.00003,0.000378
Al_Stewart,Al_Stewart,,5,Source,31,0.000056,0.024309
Richie_Hayward,Richie_Hayward,,7,Source,143,0.000076,0.01581
Kevin_Woo,Kevin_Woo,,1,Source,63,0.000021,0.000232
Assia,Assia,,3,Source,62,0.000029,0.020482
Gordon_Giltrap,Gordon_Giltrap,,4,Source,10,0.000048,0.006691
Cinder_Block,Cinder_Block,,2,Source,149,0.000026,0.002232
Jason_Rowe,Jason_Rowe,,3,Source,62,0.000037,0.018719
Martha_Johnson,Martha_Johnson,,5,Source,149,0.000043,0.003061
